feature,selected,ranking
mean perimeter,True,1
mean compactness,True,1
mean concavity,True,1
mean concave points,True,1
area error,True,1
concave points error,True,1
fractal dimension error,True,1
worst radius,True,1
worst texture,True,1
worst perimeter,True,1
worst area,True,1
worst fractal dimension,True,1
radius error,False,2
concavity error,False,2
worst concavity,False,2
mean radius,False,3
mean smoothness,False,3
texture error,False,3
mean area,False,4
smoothness error,False,4
worst symmetry,False,4
perimeter error,False,5
symmetry error,False,5
worst compactness,False,5
mean texture,False,6
mean symmetry,False,6
compactness error,False,6
mean fractal dimension,False,7
worst smoothness,False,7
worst concave points,False,7
