feature,coef,abs_coef
area error,-1.269596274737425,1.269596274737425
mean concave points,-1.1062676035729841,1.1062676035729841
worst area,-1.0829153498156783,1.0829153498156783
worst radius,-1.0783784712423004,1.0783784712423004
fractal dimension error,0.9899105140624165,0.9899105140624165
worst fractal dimension,-0.9661653293552959,0.9661653293552959
mean perimeter,0.9562434714682,0.9562434714682
mean compactness,0.7924710359720537,0.7924710359720537
worst texture,-0.6212111434904235,0.6212111434904235
worst perimeter,-0.603477390543542,0.603477390543542
concave points error,-0.5500003775395578,0.5500003775395578
mean concavity,-0.507330248030115,0.507330248030115
